2023-06-15 21:13:42.930 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-06-15 21:13:43.363 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-15 21:13:43.368 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-06-15 21:13:43.842 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-15 21:13:43.958 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@606f0f70, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1a53ac0c, org.springframework.security.web.context.SecurityContextPersistenceFilter@ab94a32, org.springframework.security.web.header.HeaderWriterFilter@630febd7, org.springframework.web.filter.CorsFilter@7fdf7359, org.springframework.security.web.authentication.logout.LogoutFilter@2ad6895a, com.jimmy.swiftwheels.config.JwtAuthenticationFilter@6f2bf657, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1f641fb7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@297454f7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4a36a35d, org.springframework.security.web.session.SessionManagementFilter@296a71df, org.springframework.security.web.access.ExceptionTranslationFilter@21948bd1, org.springframework.security.web.access.intercept.AuthorizationFilter@2f8ab988]
2023-06-15 21:13:44.082 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-06-15 21:13:44.091 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-06-15 21:13:44.098 INFO  [main] c.j.s.SwiftwheelsApplication - Started SwiftwheelsApplication in 2.765 seconds (JVM running for 3.123)
2023-06-15 21:15:00.569 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-15 21:15:00.569 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-15 21:15:00.570 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-15 21:15:00.641 INFO  [http-nio-8080-exec-1] c.j.s.c.AuthenticationController - Request to 'register' for user 'admin'
2023-06-15 21:15:00.776 INFO  [http-nio-8080-exec-1] c.j.s.service.AuthenticationService - Registration successful: username='admin'
2023-06-15 21:15:00.898 INFO  [http-nio-8080-exec-2] c.j.s.c.AuthenticationController - Authorization successful: User 'admin'
2023-06-15 21:15:00.982 INFO  [http-nio-8080-exec-4] c.j.s.controller.VehicleController - Request to 'getDatabase'
2023-06-15 21:15:00.982 INFO  [http-nio-8080-exec-5] c.j.s.controller.VehicleController - Request to 'availableVehicles'
2023-06-15 21:15:01.006 INFO  [http-nio-8080-exec-3] c.j.s.controller.UserController - Request to 'reservedVehicle' by user 'admin'
2023-06-15 21:15:05.571 INFO  [http-nio-8080-exec-6] c.j.s.c.AuthenticationController - Request to 'logout' by user 'admin'
2023-06-15 21:15:05.594 INFO  [http-nio-8080-exec-6] c.j.s.service.AuthenticationService - All valid tokens for user 'admin' revoked
2023-06-15 21:15:05.594 INFO  [http-nio-8080-exec-6] c.j.s.service.AuthenticationService - Logout successful: username='admin'
2023-06-15 21:20:19.131 INFO  [http-nio-8080-exec-10] c.j.s.c.AuthenticationController - Request to 'authenticate' by user 'admin'
2023-06-15 21:20:19.230 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@43e05007 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.232 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@4d9018f3 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.233 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@cb1192e (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.233 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@416e634f (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.234 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@480d4766 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.235 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@5978914 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.236 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@16b98e1 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.237 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@332de798 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.238 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@11b9b0ec (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.239 WARN  [http-nio-8080-exec-10] com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@28df44e6 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2023-06-15 21:20:19.348 ERROR [http-nio-8080-exec-10] c.j.s.service.AuthenticationService - User 'admin' has no valid tokens, so could not revoke any
2023-06-15 21:20:19.351 INFO  [http-nio-8080-exec-10] c.j.s.service.AuthenticationService - Authentication successful
2023-06-15 21:20:19.381 INFO  [http-nio-8080-exec-2] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:20:34.452 INFO  [http-nio-8080-exec-4] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:20:34.482 INFO  [http-nio-8080-exec-3] c.j.s.controller.VehicleController - Request to 'getDatabase' by admin 'admin'
2023-06-15 21:20:36.074 INFO  [http-nio-8080-exec-6] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:21:04.066 INFO  [http-nio-8080-exec-8] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:21:57.740 INFO  [http-nio-8080-exec-7] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:21:58.369 INFO  [http-nio-8080-exec-9] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:21:59.707 INFO  [http-nio-8080-exec-10] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:21:59.732 INFO  [http-nio-8080-exec-1] c.j.s.controller.VehicleController - Request to 'getDatabase' by admin 'admin'
2023-06-15 21:22:10.689 INFO  [http-nio-8080-exec-4] c.j.s.controller.VehicleController - Request to 'addVehicle' by user 'admin'
2023-06-15 21:22:19.546 INFO  [http-nio-8080-exec-5] c.j.s.controller.VehicleController - Request to 'addVehicle' by user 'admin'
2023-06-15 21:22:47.497 INFO  [http-nio-8080-exec-3] c.j.s.controller.VehicleController - Request to 'addVehicle' by user 'admin'
2023-06-15 21:22:47.504 INFO  [http-nio-8080-exec-3] c.j.s.service.VehicleService - Add successful: id='1', name='Fiat', type='CAR', latitude='52.1', longitude='4.4', available='true'
2023-06-15 21:22:47.523 INFO  [http-nio-8080-exec-6] c.j.s.controller.VehicleController - Request to 'getDatabase' by admin 'admin'
2023-06-15 21:23:41.918 INFO  [http-nio-8080-exec-8] c.j.s.c.AuthenticationController - Authorization successful: Admin 'admin'
2023-06-15 21:23:43.812 INFO  [http-nio-8080-exec-7] c.j.s.c.AuthenticationController - Request to 'logout' by user 'admin'
2023-06-15 21:23:43.820 INFO  [http-nio-8080-exec-7] c.j.s.service.AuthenticationService - All valid tokens for user 'admin' revoked
2023-06-15 21:23:43.820 INFO  [http-nio-8080-exec-7] c.j.s.service.AuthenticationService - Logout successful: username='admin'
2023-06-15 21:48:05.441 INFO  [http-nio-8080-exec-1] c.j.s.c.AuthenticationController - Request to 'register' for user 'user'
2023-06-15 21:49:01.286 INFO  [http-nio-8080-exec-2] c.j.s.c.AuthenticationController - Request to 'register' for user 'user'
2023-06-15 21:49:35.465 INFO  [http-nio-8080-exec-4] c.j.s.c.AuthenticationController - Request to 'register' for user 'user'
2023-06-15 21:49:47.770 INFO  [http-nio-8080-exec-3] c.j.s.c.AuthenticationController - Request to 'authenticate' by user 'user'
2023-06-15 21:49:47.863 ERROR [http-nio-8080-exec-3] c.j.s.service.AuthenticationService - User 'user' has no valid tokens, so could not revoke any
2023-06-15 21:49:47.865 INFO  [http-nio-8080-exec-3] c.j.s.service.AuthenticationService - Authentication successful
2023-06-15 21:49:47.893 INFO  [http-nio-8080-exec-8] c.j.s.c.AuthenticationController - Authorization successful: User 'user'
2023-06-15 21:49:47.914 INFO  [http-nio-8080-exec-9] c.j.s.controller.VehicleController - Request to 'getDatabase'
2023-06-15 21:49:47.920 INFO  [http-nio-8080-exec-1] c.j.s.controller.VehicleController - Request to 'availableVehicles'
2023-06-15 21:49:47.932 INFO  [http-nio-8080-exec-10] c.j.s.controller.UserController - Request to 'reservedVehicle' by user 'user'
2023-06-15 21:49:58.540 INFO  [http-nio-8080-exec-4] c.j.s.controller.VehicleController - Request to 'reserveVehicle' by user 'user'
2023-06-15 21:49:58.557 INFO  [http-nio-8080-exec-4] c.j.s.service.VehicleService - Reservation successful: User 'user' reserved vehicle id '1'
2023-06-15 21:49:58.571 INFO  [http-nio-8080-exec-5] c.j.s.controller.VehicleController - Request to 'availableVehicles'
2023-06-15 21:49:58.580 INFO  [http-nio-8080-exec-3] c.j.s.controller.UserController - Request to 'reservedVehicle' by user 'user'
2023-06-15 21:49:58.583 INFO  [http-nio-8080-exec-3] c.j.swiftwheels.service.UserService - User user is reserving a vehicle, namely vehicle id 1
2023-06-15 21:50:52.429 INFO  [http-nio-8080-exec-8] c.j.s.c.AuthenticationController - Authorization successful: User 'user'
2023-06-15 21:50:52.440 INFO  [http-nio-8080-exec-9] c.j.s.controller.VehicleController - Request to 'getDatabase'
2023-06-15 21:50:52.442 INFO  [http-nio-8080-exec-1] c.j.s.controller.VehicleController - Request to 'availableVehicles'
2023-06-15 21:50:52.451 INFO  [http-nio-8080-exec-7] c.j.s.controller.UserController - Request to 'reservedVehicle' by user 'user'
2023-06-15 21:50:52.457 INFO  [http-nio-8080-exec-7] c.j.swiftwheels.service.UserService - User user is reserving a vehicle, namely vehicle id 1
2023-06-15 21:50:59.317 INFO  [http-nio-8080-exec-2] c.j.s.controller.VehicleController - Request to 'releaseVehicle' by user 'user'
2023-06-15 21:50:59.326 INFO  [http-nio-8080-exec-2] c.j.s.service.VehicleService - Release successful: User 'user' released vehicle id '1'
2023-06-15 21:50:59.334 INFO  [http-nio-8080-exec-5] c.j.s.controller.VehicleController - Request to 'availableVehicles'
2023-06-15 21:50:59.344 INFO  [http-nio-8080-exec-4] c.j.s.controller.UserController - Request to 'reservedVehicle' by user 'user'
2023-06-15 21:51:07.523 INFO  [http-nio-8080-exec-6] c.j.s.c.AuthenticationController - Request to 'logout' by user 'user'
2023-06-15 21:51:07.531 INFO  [http-nio-8080-exec-6] c.j.s.service.AuthenticationService - All valid tokens for user 'user' revoked
2023-06-15 21:51:07.531 INFO  [http-nio-8080-exec-6] c.j.s.service.AuthenticationService - Logout successful: username='user'
2023-06-15 21:51:29.544 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-15 21:51:29.546 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-15 21:51:29.552 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
